31/10/2022 16:29:45 > Servidor 9080
31/10/2022 16:31:12 > Cliente solicita From:H
31/10/2022 16:31:12 > Cliente solicita Type:HELLO
31/10/2022 16:31:12 > Cliente solicita From:H
31/10/2022 16:31:12 > Cliente solicita Type:DV
31/10/2022 16:31:12 > Cliente solicita Len:1
31/10/2022 16:31:12 > Cliente solicita G:20
31/10/2022 16:31:12 > H envio -> {G=20}
31/10/2022 16:31:32 > Cliente solicita From:H
31/10/2022 16:31:32 > Cliente solicita Type:KeepAlive
31/10/2022 16:31:32 > KeepAlive de H
31/10/2022 16:31:52 > Cliente solicita From:H
31/10/2022 16:31:52 > Cliente solicita Type:KeepAlive
31/10/2022 16:31:52 > KeepAlive de H
31/10/2022 16:32:12 > Cliente solicita From:H
31/10/2022 16:32:12 > Cliente solicita Type:KeepAlive
31/10/2022 16:32:12 > KeepAlive de H
31/10/2022 16:32:32 > Cliente solicita From:H
31/10/2022 16:32:32 > Cliente solicita Type:KeepAlive
31/10/2022 16:32:32 > KeepAlive de H
31/10/2022 16:32:52 > Cliente solicita From:H
31/10/2022 16:32:52 > Cliente solicita Type:KeepAlive
31/10/2022 16:32:52 > KeepAlive de H
